CodigoEmpresa;EjercicioPedido;SeriePedido;NumeroPedido;LineaPedido;CodigoArticulo;CodigoFamilia;ImporteNetoPendiente;FechaEntrega;CodigoComisionistaLinea;PrecioVenta;PrecioCoste;MargenVenta;DescripcionArticulo;CodigoProveedor;%Descuento;ImporteCoste;ImporteNeto;FechaPedido;RazonSocial;CodigoPostal;CodigoMunicipio;Municipio;Provincia;CodigoProvincia;CodigoNacion;Nacion;FormadePago;Expr1;BaseImponiblePendiente;UnidadesPendientes;FechaTope;CodigoComisionista;ImporteFactura;CodigoCliente;CodigoTipoClienteLc;BaseImponible;NombreComercial
2;2024;NAC;8778;5;990052081;M;2872.0;2026-04-15 00:00:00.000;61;14.36;8.6100038125;40.041756;SUBMODULO COMPLETO VENTANA STANDAR LOGYTEL;;0.0;1722.0;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-04-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8778;10;990042081;M;2872.0;2026-04-15 00:00:00.000;61;14.36;10.0053662913;30.324747;SUBMODULO COMPLETO VENTANA GRANDE LOGYTEL;;0.0;2001.07;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-04-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8779;5;990052081;M;2872.0;2026-05-15 00:00:00.000;61;14.36;8.6100038125;40.041756;SUBMODULO COMPLETO VENTANA STANDAR LOGYTEL;;0.0;1722.0;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-05-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8779;10;990042081;M;2872.0;2026-05-15 00:00:00.000;61;14.36;10.0053662913;30.324747;SUBMODULO COMPLETO VENTANA GRANDE LOGYTEL;;0.0;2001.07;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-05-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8780;5;990052081;M;2872.0;2026-06-15 00:00:00.000;61;14.36;8.6100038125;40.041756;SUBMODULO COMPLETO VENTANA STANDAR LOGYTEL;;0.0;1722.0;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-06-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8780;10;990042081;M;2872.0;2026-06-15 00:00:00.000;61;14.36;10.0053662913;30.324747;SUBMODULO COMPLETO VENTANA GRANDE LOGYTEL;;0.0;2001.07;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-06-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8781;5;990052081;M;2872.0;2026-07-15 00:00:00.000;61;14.36;8.6100038125;40.041756;SUBMODULO COMPLETO VENTANA STANDAR LOGYTEL;;0.0;1722.0;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-07-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8781;10;990042081;M;2872.0;2026-07-15 00:00:00.000;61;14.36;10.0053662913;30.324747;SUBMODULO COMPLETO VENTANA GRANDE LOGYTEL;;0.0;2001.07;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-07-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8782;5;990052081;M;2872.0;2026-09-15 00:00:00.000;61;14.36;8.6100038125;40.041756;SUBMODULO COMPLETO VENTANA STANDAR LOGYTEL;;0.0;1722.0;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-09-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
2;2024;NAC;8782;10;990042081;M;2872.0;2026-09-15 00:00:00.000;61;14.36;10.0053662913;30.324747;SUBMODULO COMPLETO VENTANA GRANDE LOGYTEL;;0.0;2001.07;2872.0;2024-12-17;LOGISTICA Y TELECOMUNICACION, S.L.;28805;;ALCALA DE HENARES;MADRID;;108;ESPAÑA;Transferencia a 60 días;2026-09-15 00:00:00.000;2872.0;200.0;2024-12-17;61;6950.24;2081;B0;5744.0;JUAN CARLOS BENITO RAMOS
