CodigoArticulo;StockActual;CodigoAlmacen;PrecioMedio;FechaUltimaEntrada;FechaUltimaSalida
00004726;0E-10;001;1.2750295289;2025-12-09 00:00:00;2025-12-09 00:00:00
00010008;1.0000000000;001;7.2250000000;;
00010069;1.0000000000;001;0E-10;;
00010491;0E-10;001;0.6687430143;2025-11-28 00:00:00;2025-11-28 00:00:00
00010544;20.0000000000;001;6.0716000000;;
00010574;75.0000000000;001;0.6298495311;;2025-03-19 00:00:00
00010624;10.0000000000;001;2.4790106198;;
00010625;0E-10;001;4.3793943229;;2025-01-10 00:00:00
00010626;18.0000000000;001;2.6548000000;;
00010628;400.0000000000;001;0.8334199472;2025-12-22 00:00:00;2025-12-18 00:00:00
00010642;4.0000000000;001;1.0084267953;2025-10-20 00:00:00;2025-10-20 00:00:00
00010643;0E-10;001;0.6849386202;2025-10-13 00:00:00;2025-10-13 00:00:00
00010654;50.0000000000;001;2.5307348799;2025-10-20 00:00:00;2025-09-30 00:00:00
00020062;0E-10;001;2.9615538517;;2025-07-14 00:00:00
00020388;25.0000000000;001;5.3337169898;;2025-04-28 00:00:00
00030751;1.0000000000;001;1.8004727851;;
00030753;30.0000000000;001;1.3936967136;;2025-10-22 00:00:00
00030862;0E-10;001;2.7721495804;;2025-02-14 00:00:00
00030863;0E-10;001;0.5558885962;;2025-09-10 00:00:00
00030957;0E-10;001;0.9793924415;;2025-01-20 00:00:00
00030957M;0E-10;001;1.3086571383;2025-11-07 00:00:00;2025-11-07 00:00:00
00031261;0E-10;001;1.7514611530;;2025-07-10 00:00:00
00031264;0E-10;001;0.7390125304;;2025-07-31 00:00:00
00031265;50.0000000000;001;1.2751000000;;
00031267;0E-10;001;1.7626942387;;2025-04-25 00:00:00
00031334;109.0000000000;001;1.2814000000;;
00031336;0E-10;001;2.1670200122;;2025-04-29 00:00:00
00031354;1.0000000000;001;4.6195000000;;
00031428;0E-10;001;1.1847908052;;2025-09-24 00:00:00
00031434;140.0000000000;001;0.5403000000;;
00031451;30.0000000000;001;1.6969518823;2025-05-26 00:00:00;2025-05-28 00:00:00
00031452;100.0000000000;001;2.9115000000;;
00031476;100.0000000000;001;0.3955000000;;
00031477;0E-10;001;0.3742716040;;2025-07-08 00:00:00
00031478J;175.0000000000;001;0.1882126832;2025-08-25 00:00:00;2025-09-25 00:00:00
00031498;2.0000000000;001;3.9976000000;;
00031506;0E-10;001;1.4178521615;;2025-08-18 00:00:00
00031521;200.0000000000;001;1.1360700000;;
00031529;0E-10;001;1.2958745067;;2025-01-09 00:00:00
00031542;0E-10;001;3.0912587516;2025-10-08 00:00:00;2025-10-09 00:00:00
00031556;40.0000000000;001;1.6098587620;2025-11-21 00:00:00;2025-06-11 00:00:00
00031566;150.0000000000;001;1.2091508494;2025-11-13 00:00:00;2025-10-28 00:00:00
