                                             TABLE_NAME            COLUMN_NAME
0                                        lsysSyncResult       sysErrorSequence
1                                        lsysSyncResult        sysErrorMessage
2                                          FIEConceptos               Unidades
3                             GeneracionTalonesAgru_Tmp            RazonSocial
4                          EntradaHorasExpedienteLineas            RazonSocial
5                          EntradaHorasExpedienteLineas               Unidades
6                                IOF_Telematico_Errores         IOFCodigoError
7                                IOF_Telematico_Errores    IOFDescripcionError
8                                IOF_Telematico_Errores    IOFObservacionError
9                                Vis_AEM_AccionesCiales            RazonSocial
10                                         DatosFactura            RazonSocial
11                                         DatosFactura    RazonSocialSucedida
12                          TemporalNomConvAntigColegio    RazonSocialEmpleado
13                                       EST_TmpMov140B            RazonSocial
14                         Vis_PORTALCLIENTE_Documentos            RazonSocial
15                                 GMRH_EmpleadoPuestos    RazonSocialEmpleado
16                              Vis_AEM_LinAlbCliTallas               Unidades
17                                       ResumenCliente            RazonSocial
18                                       ResumenCliente           RazonSocial2
19                              Vis_AEM_LinAlbProTallas               Unidades
20        TMP_EI_TmpIME_AEL_RetFlexible_20250403_173507    RazonSocialEmpleado
21                               TmpIME_MovimientosCaja            RazonSocial
22                           DetalleFacturacionArticulo               Unidades
23                               CabeceraAlbaranCliente            RazonSocial
24                               CabeceraAlbaranCliente      RazonSocialEnvios
25                               CabeceraAlbaranCliente           RazonSocial2
26                               CabeceraAlbaranCliente     RazonSocial2Envios
27                             Vis_AEM_LlamadasClientes            RazonSocial
28                              LineasContratoProveedor               Unidades
29                             PackingListEdiContenido_               Unidades
30                                  Vis_AEM_Oportunidad            RazonSocial
31                        TemporalRespErrEmplCer2Desemp            CodigoError
32                                  TemporalNomIncExcel    RazonSocialEmpleado
33                          LcVw_PromedioPartesCerrados               Unidades
34                            PedidosAlbaranesProveedor            RazonSocial
35                            PlanLineasContratoCliente               Unidades
36                 LcVw_PromedioPartesCerradosTipoParte               Unidades
37                                             Lecturas            RazonSocial
38                      CabeceraAlbaranCliente_15_02_24            RazonSocial
39                      CabeceraAlbaranCliente_15_02_24      RazonSocialEnvios
40                      CabeceraAlbaranCliente_15_02_24           RazonSocial2
41                      CabeceraAlbaranCliente_15_02_24     RazonSocial2Envios
42                                   Vis_Co_HR_Nom154a5    RazonSocialEmpleado
43                                  Vis_EST_InfCPpend_C            RazonSocial
44                               IOF_IncidenciasModelos    RazonSocialEmpleado
45                               IOF_IncidenciasModelos        IOFCodErrorAEAT
46                             VistaPedidosConAlbaranes            RazonSocial
47                                TemporalNOMLimParteA2    RazonSocialEmpleado
48                          Vis_LcVw_LlamadasDeClientes            RazonSocial
49                           TraspasoNominaCodEmpleados      HuboErroresImport
50                           TraspasoNominaCodEmpleados    RazonSocialEmpleado
51                                LineasTraspasoAlmacen               Unidades
52                                   LineasParteTrabajo               Unidades
53                               MovimientoStock_140124               Unidades
54                      RelacionClientesProveedoresL100            RazonSocial
55                              CarteraComisiones_CoRep            RazonSocial
56                               VIS_RazonSocialEfectos            RazonSocial
57                                    INR_TmpAlquileres    RazonSocialEmpleado
58                                     TES_Presupuestos            RazonSocial
59                                   ResumenCliente_Bak            RazonSocial
60                                   ResumenCliente_Bak           RazonSocial2
61                                   pwb_FacturaCompras               Cantidad
62                                     LcEmpleadoGastos               Unidades
63                          VIS_PORTALCLIENTE_Empleados            RazonSocial
64                          VIS_PORTALCLIENTE_Empleados           RazonSocial2
65                          TemporalNomEmplDiaCompensar    RazonSocialEmpleado
66                        LcVw_CargaTotalPorcentajesPSV            RazonSocial
67                        VIS_NOM_AEM_listadoctrlavisos            RazonSocial
68                        VIS_NOM_AEM_listadoctrlavisos    RazonSocialEmpleado
69                                             Cadenas_            RazonSocial
70                                             Cadenas_           RazonSocial2
71                                 TemporalNomLimCostes    RazonSocialEmpleado
72                                   IOF_720TmpDesglose           RazonSocial2
73                              Ges_TmpLisConfigEmpresa        RazonSocialPlan
74                               LcVw_DiasLaborablesMes               Unidades
75                                         INR_Conyuges    RazonSocialEmpleado
76                              CabeceraPedidoProveedor            RazonSocial
77                              CabeceraPedidoProveedor           RazonSocial2
78                              CabeceraPedidoProveedor       _AEL_txtErrorAPI
79                                  BienesInversion_Cab            RazonSocial
80                     HistoricoCabeceraContratoCliente            RazonSocial
81                     HistoricoCabeceraContratoCliente      RazonSocialEnvios
82                     HistoricoCabeceraContratoCliente           RazonSocial2
83                     HistoricoCabeceraContratoCliente     RazonSocial2Envios
84                              AntiguedadSaldosCliente            RazonSocial
85                             LcVw_HorasPorTecnico_PSV            RazonSocial
86                             LcVw_HorasPorTecnico_PSV               Unidades
87                           CabeceraAlbaranCliente_Bak            RazonSocial
88                           CabeceraAlbaranCliente_Bak      RazonSocialEnvios
89                           CabeceraAlbaranCliente_Bak           RazonSocial2
90                           CabeceraAlbaranCliente_Bak     RazonSocial2Envios
91                    CEN_PowerBi_LineasPedVen_Vendedor            RazonSocial
92                             MovimientoPendientes_Bak               Unidades
93                                 MovimientoPendientes               Unidades
94            CEN_PowerBI_KPI_Entregas_a_tiempo_cliente            RazonSocial
95                                         NOM_TmpPerte    RazonSocialEmpleado
96          CEN_PowerBI_KPI_Entregas_a_tiempo_proveedor            RazonSocial
97        TMP_EI_TmpIME_AEL_RetFlexible_20250403_173530    RazonSocialEmpleado
98                                  PowerBi_CarteraCoPa            RazonSocial
99                           TemporalNomDuplicEmpleados    RazonSocialEmpleado
100                                 EST_TmpLisAbcCliPro            RazonSocial
101                                   MovimientosCajaSR            RazonSocial
102                              PowerBi_ComprasDetalle            RazonSocial
103                              PowerBi_ComprasDetalle               Unidades
104                                     EST_Movimientos            RazonSocial
