                                              TABLE_NAME                    COLUMN_NAME
0                                         lsysSyncResult                sysErrorMessage
1                                         lsysSyncResult               sysErrorSequence
2                              GeneracionTalonesAgru_Tmp                    RazonSocial
3                           EntradaHorasExpedienteLineas                    RazonSocial
4                                 IOF_Telematico_Errores                 IOFCodigoError
5                                 IOF_Telematico_Errores            IOFDescripcionError
6                                 IOF_Telematico_Errores            IOFObservacionError
7                                 Vis_AEM_AccionesCiales                    RazonSocial
8                                           DatosFactura                    RazonSocial
9                                           DatosFactura            RazonSocialSucedida
10                           TemporalNomConvAntigColegio            RazonSocialEmpleado
11                                        EST_TmpMov140B                    RazonSocial
12                          Vis_PORTALCLIENTE_Documentos                    RazonSocial
13                                  GMRH_EmpleadoPuestos            RazonSocialEmpleado
14                                        ResumenCliente                    RazonSocial
15                                        ResumenCliente                   RazonSocial2
16                                      NomCerMaternidad              AccionCertificado
17                                      NomCerMaternidad                            Año
18                                      NomCerMaternidad                     AnoMesAlta
19                                      NomCerMaternidad                    BaseACAnt_1
20                                      NomCerMaternidad                    BaseACAnt_2
21                                      NomCerMaternidad                     BaseACTP_1
22                                      NomCerMaternidad                    BaseACTP_10
23                                      NomCerMaternidad                    BaseACTP_11
24                                      NomCerMaternidad                    BaseACTP_12
25                                      NomCerMaternidad                     BaseACTP_2
26                                      NomCerMaternidad                     BaseACTP_3
27                                      NomCerMaternidad                     BaseACTP_4
28                                      NomCerMaternidad                     BaseACTP_5
29                                      NomCerMaternidad                     BaseACTP_6
30                                      NomCerMaternidad                     BaseACTP_7
31                                      NomCerMaternidad                     BaseACTP_8
32                                      NomCerMaternidad                     BaseACTP_9
33                                      NomCerMaternidad                  BaseAtMesAlta
34                                      NomCerMaternidad                    BaseCCAnt_1
35                                      NomCerMaternidad                    BaseCCAnt_2
36                                      NomCerMaternidad                  BaseCCMesAlta
37                                      NomCerMaternidad                     BaseCCTP_1
38                                      NomCerMaternidad                    BaseCCTP_10
39                                      NomCerMaternidad                    BaseCCTP_11
40                                      NomCerMaternidad                    BaseCCTP_12
41                                      NomCerMaternidad                     BaseCCTP_2
42                                      NomCerMaternidad                     BaseCCTP_3
43                                      NomCerMaternidad                     BaseCCTP_4
44                                      NomCerMaternidad                     BaseCCTP_5
45                                      NomCerMaternidad                     BaseCCTP_6
46                                      NomCerMaternidad                     BaseCCTP_7
47                                      NomCerMaternidad                     BaseCCTP_8
48                                      NomCerMaternidad                     BaseCCTP_9
49                                      NomCerMaternidad                 BaseHECotAnt_1
50                                      NomCerMaternidad                 BasesHeMesAlta
51                                      NomCerMaternidad             CargoRepresentante
52                                      NomCerMaternidad                  ClaveEspecial
53                                      NomCerMaternidad                 CodigoContrato
54                                      NomCerMaternidad                 CodigoEmpleado
55                                      NomCerMaternidad                  CodigoEmpresa
56                                      NomCerMaternidad                   CodigoPostal
57                                      NomCerMaternidad       CoeficienteTiempoParcial
58                                      NomCerMaternidad                       Contrato
59                                      NomCerMaternidad               CotizDesempleoNo
60                                      NomCerMaternidad               CotizDesempleoSi
61                                      NomCerMaternidad         DescansoIninterrumpido
62                                      NomCerMaternidad                    DesempleoNO
63                                      NomCerMaternidad                    DesempleoSI
64                                      NomCerMaternidad                   DiasCotAnt_1
65                                      NomCerMaternidad                   DiasCotAnt_2
66                                      NomCerMaternidad                    DiasCotTP_1
67                                      NomCerMaternidad                   DiasCotTP_10
68                                      NomCerMaternidad                   DiasCotTP_11
69                                      NomCerMaternidad                   DiasCotTP_12
70                                      NomCerMaternidad                    DiasCotTP_2
71                                      NomCerMaternidad                    DiasCotTP_3
72                                      NomCerMaternidad                    DiasCotTP_4
73                                      NomCerMaternidad                    DiasCotTP_5
74                                      NomCerMaternidad                    DiasCotTP_6
75                                      NomCerMaternidad                    DiasCotTP_7
76                                      NomCerMaternidad                    DiasCotTP_8
77                                      NomCerMaternidad                    DiasCotTP_9
78                                      NomCerMaternidad                    DiasPrevAgr
79                                      NomCerMaternidad                    DiasTrabAgr
80                                      NomCerMaternidad                        DiasVac
81                                      NomCerMaternidad                 DiasVacaciones
82                                      NomCerMaternidad               DisfruteContPres
83                                      NomCerMaternidad               DisfruteFechaFin
84                                      NomCerMaternidad            DisFruteFechaInicio
85                                      NomCerMaternidad        DisfruteIndFechaFin4Sem
86                                      NomCerMaternidad        DisfruteIndFechaFin5Sem
87                                      NomCerMaternidad         DisfruteIndFechaInicio
88                                      NomCerMaternidad     DisfruteIndFechaInicio5Sem
89                                      NomCerMaternidad                DisfruteIndPres
90                                      NomCerMaternidad               DNIRepresentante
91                                      NomCerMaternidad              EjercicioCotAnt_1
92                                      NomCerMaternidad               EjercicioCotTP_1
93                                      NomCerMaternidad              EjercicioCotTP_10
94                                      NomCerMaternidad              EjercicioCotTP_11
95                                      NomCerMaternidad              EjercicioCotTP_12
96                                      NomCerMaternidad               EjercicioCotTP_2
97                                      NomCerMaternidad               EjercicioCotTP_3
98                                      NomCerMaternidad               EjercicioCotTP_4
99                                      NomCerMaternidad               EjercicioCotTP_5
100                                     NomCerMaternidad               EjercicioCotTP_6
101                                     NomCerMaternidad               EjercicioCotTP_7
102                                     NomCerMaternidad               EjercicioCotTP_8
103                                     NomCerMaternidad               EjercicioCotTP_9
104                                     NomCerMaternidad          Empleado_CodigoPostal
105                                     NomCerMaternidad                   Empleado_DNI
106                                     NomCerMaternidad              Empleado_Escalera
107                                     NomCerMaternidad             Empleado_Municipio
108                                     NomCerMaternidad        Empleado_NombreCompleto
109                                     NomCerMaternidad               Empleado_Numero1
110                                     NomCerMaternidad               Empleado_Numero2
111                                     NomCerMaternidad                  Empleado_Piso
112                                     NomCerMaternidad             Empleado_Provincia
113                                     NomCerMaternidad                Empleado_Puerta
114                                     NomCerMaternidad            Empleado_ViaPublica
115                                     NomCerMaternidad              EmpleadoPublicoNo
116                                     NomCerMaternidad              EmpleadoPublicoSi
117                                     NomCerMaternidad                        Empresa
118                                     NomCerMaternidad           Empresas_NumPatronal
119                                     NomCerMaternidad  Empresas_ProvinciaNumPatronal
120                                     NomCerMaternidad                       Escalera
